match	kingdom	phylum	class	order	family	genus	species	new_species	new_fam	new_genus									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_vB_SepiS-phiIPLA7	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_vB_SepiS-phiIPLA5	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_StB27	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_StB20	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_StB12	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_PVL	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_phiRS7	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_phiMR25	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_phiETA	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_PH15	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage_EW	Viruses			Caudovirales	Siphoviridae		Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae;;Staphylococcus_phage	Viruses;;;Caudovirales;Siphoviridae	Viruses;;;Caudovirales;Siphoviridae;									
